,Ranking,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage,Shots pg,Yellowcard,RedCard,Possession%,Pass%,AerialsWon,Country,Transfer Spend (Euros),MA
343,4,2017,Valencia CF,73.0,36.0,16.0,23.41,180.89,73.63,74.59,8939814.0,29407.0,12.7,99,5,49.3,81.2,14.8,Spain,49.50000000000001,70.47
344,5,2017,Villarreal CF,61.0,35.0,22.0,24.76,181.33,74.0,73.36,9173484.0,27576.0,12.5,109,6,50.2,81.6,15.2,Spain,41.49,
345,6,2017,Real Betis,60.0,35.0,31.0,25.42,180.5,74.54,73.46,6960416.0,22542.0,11.0,90,3,55.9,84.7,12.2,Spain,34.65,
346,7,2017,Sevilla FC,58.0,31.0,22.0,26.22,181.07,75.89,77.0,11555185.0,20556.0,13.6,95,3,53.1,81.9,15.9,Spain,70.24499999999999,61.12
347,8,2017,Getafe CF,55.0,26.0,13.0,26.23,179.19,71.74,70.65,3379677.0,17000.0,9.8,126,5,42.3,65.9,15.0,Spain,11.615000000000002,
348,9,2017,Girona FC,51.0,26.0,22.0,24.52,181.79,74.21,71.48,4302758.0,24379.0,12.4,82,3,51.2,73.6,20.6,Spain,7.88,
349,10,2017,SD Eibar,51.0,26.0,19.0,26.03,182.24,74.83,73.41,6239655.0,16724.0,12.0,105,0,47.5,76.2,17.7,Spain,6.705000000000001,5.92
350,11,2017,RC Celta Vigo,49.0,34.0,23.0,23.65,179.71,73.84,71.77,6351612.0,15839.0,10.9,87,1,47.4,76.1,16.6,Spain,23.85,15.36
351,12,2017,Real Sociedad,49.0,47.0,29.0,24.48,180.87,75.13,73.84,9283870.0,23161.0,13.7,57,5,55.1,83.9,13.7,Spain,19.35,19.38
352,13,2017,RCD Espanyol,49.0,20.0,16.0,25.83,181.3,75.47,74.7,6871666.0,25000.0,11.8,87,1,54.4,82.3,15.0,Spain,15.345,11.58
353,14,2017,Deportivo Alavés,47.0,21.0,23.0,24.0,181.84,74.29,71.19,4818548.0,20581.0,10.3,102,4,42.7,72.0,17.0,Spain,11.1,
354,15,2017,Levante UD,46.0,25.0,28.0,23.91,181.44,74.09,70.75,4327812.0,15062.0,10.8,106,6,44.5,74.9,13.2,Spain,8.19,
355,16,2017,CD Leganés,43.0,19.0,19.0,26.55,180.48,74.28,72.66,4918965.0,19897.0,11.3,94,0,49.4,77.2,19.8,Spain,5.49,
356,17,2017,Athletic Club Bilbao,43.0,19.0,16.0,25.75,182.43,76.61,75.75,9794642.0,22643.0,10.4,99,5,44.6,71.7,18.1,Spain,28.8,12.0
357,18,2017,RCD La Coruña,29.0,22.0,33.0,25.7,179.7,73.64,72.79,5759090.0,22333.0,12.3,98,2,47.4,77.8,15.3,Spain,,
358,19,2017,UD Las Palmas,22.0,15.0,38.0,25.52,179.73,73.27,72.24,5950757.0,19364.0,10.9,87,3,53.8,81.9,13.3,Spain,0.315,2.9
359,20,2017,Málaga CF,20.0,14.0,27.0,24.21,181.33,74.61,71.15,5339848.0,18909.0,10.6,92,8,45.3,75.1,16.2,Spain,9.45,9.51
360,1,2018,FC Barcelona,87.0,51.0,17.0,24.75,179.75,74.36,80.29,29925892.0,169536.0,14.7,75,2,61.4,88.3,12.1,Spain,116.19000000000004,192.41
361,2,2018,Atlético Madrid,76.0,32.0,10.0,23.79,181.39,75.0,74.73,19432727.0,46333.0,11.7,97,5,49.3,80.6,18.2,Spain,144.45000000000005,102.45
362,3,2018,Real Madrid,68.0,32.0,15.0,24.03,181.21,75.64,77.85,26668939.0,150333.0,15.6,75,6,57.8,87.5,13.1,Spain,146.48000000000005,69.98
363,4,2018,Valencia CF,61.0,24.0,12.0,23.39,181.97,74.06,75.84,13846774.0,31097.0,12.6,87,3,47.8,79.6,16.3,Spain,116.28000000000002,66.06
364,5,2018,Getafe CF,59.0,28.0,13.0,25.46,181.46,74.64,72.96,5911607.0,17071.0,10.6,104,7,43.0,63.7,22.8,Spain,24.53,
365,6,2018,Sevilla FC,59.0,39.0,20.0,25.27,179.2,74.23,74.87,9395000.0,17733.0,13.9,111,6,51.4,79.6,17.9,Spain,71.145,71.64
366,7,2018,Athletic Club Bilbao,53.0,26.0,19.0,25.06,181.73,77.06,74.03,7647878.0,17818.0,12.5,87,2,49.6,80.0,16.3,Spain,29.61,19.47
367,8,2018,RCD Espanyol,53.0,28.0,22.0,25.3,179.7,74.07,71.5,5032166.0,16567.0,10.2,117,5,49.7,76.9,25.3,Spain,20.34,17.41
368,9,2018,Real Betis,50.0,25.0,26.0,25.54,181.54,75.81,75.88,11449423.0,23731.0,11.3,78,4,51.7,80.2,19.0,Spain,34.65,
369,10,2018,Deportivo Alavés,50.0,19.0,19.0,24.7,182.56,75.33,73.07,6250925.0,17037.0,11.7,90,1,59.4,86.7,12.7,Spain,9.018,8.6
370,11,2018,Real Sociedad,50.0,23.0,20.0,23.93,180.97,75.77,73.23,7781666.0,22700.0,11.3,101,1,44.6,70.8,23.6,Spain,10.8,15.45
371,12,2018,SD Eibar,47.0,31.0,21.0,26.31,179.97,73.9,73.41,6284137.0,19241.0,14.0,79,2,52.0,72.7,27.1,Spain,7.2,7.21
372,13,2018,CD Leganés,45.0,19.0,16.0,25.38,181.69,74.12,71.53,4398437.0,18750.0,11.0,102,4,44.5,73.2,25.1,Spain,16.83,9.07
373,14,2018,Villarreal CF,44.0,28.0,26.0,26.84,181.65,74.52,74.81,9303225.0,25871.0,13.0,112,3,48.5,79.9,16.9,Spain,83.60999999999999,
374,15,2018,Levante UD,44.0,34.0,34.0,24.76,180.94,74.3,72.27,5660606.0,17394.0,11.6,101,7,46.6,75.3,13.1,Spain,23.4,
375,16,2018,RC Celta Vigo,41.0,31.0,25.0,23.67,179.55,73.52,72.45,6915151.0,15758.0,10.9,93,0,47.5,76.4,16.3,Spain,26.55,19.32
376,17,2018,Real Valladolid CF,41.0,16.0,26.0,24.9,179.45,72.1,69.35,3030161.0,11097.0,11.9,74,6,51.5,81.8,18.0,Spain,9.09,
377,18,2018,Girona FC,37.0,17.0,28.0,24.96,181.82,74.79,71.71,6030178.0,23464.0,10.5,79,4,48.5,78.6,20.4,Spain,9.18,
378,19,2018,SD Huesca,33.0,24.0,30.0,26.77,180.54,75.42,70.35,3534615.0,15154.0,12.4,112,3,45.8,73.7,20.3,Spain,7.200000000000001,
379,20,2018,Rayo Vallecano,32.0,25.0,32.0,25.21,181.27,74.0,69.76,3905606.0,15364.0,12.1,97,8,49.5,78.9,14.6,Spain,11.07,
380,1,2019,Real Madrid,87.0,70.0,25.0,24.91,180.21,75.85,80.12,27207575.0,162242.0,14.8,76,4,57.1,86.9,14.1,Spain,317.25,166.73
381,2,2019,FC Barcelona,82.0,86.0,38.0,24.06,180.52,74.09,78.36,26342424.0,150000.0,13.0,86,6,63.2,88.8,12.5,Spain,245.7,236.88
382,3,2019,Atlético Madrid,70.0,51.0,27.0,24.12,181.79,75.88,76.18,17890151.0,44848.0,11.8,89,3,48.9,78.8,22.7,Spain,219.15,151.8
383,4,2019,Sevilla FC,70.0,54.0,34.0,25.15,180.33,74.06,75.42,10095454.0,14939.0,12.9,96,1,55.9,83.0,20.4,Spain,159.98,100.46
384,5,2019,Villarreal CF,60.0,63.0,49.0,25.62,181.59,74.03,73.06,6711718.0,21938.0,13.0,78,1,52.6,82.7,15.1,Spain,40.31999999999999,
385,6,2019,Granada CF,56.0,52.0,45.0,26.07,181.07,74.44,69.96,2976481.0,11444.0,11.3,77,2,54.6,81.1,22.4,Spain,7.875,
386,7,2019,Real Sociedad,56.0,56.0,48.0,23.47,180.27,74.0,72.93,8236166.0,18433.0,10.4,107,1,45.2,71.3,20.4,Spain,19.125,16.42
387,8,2019,Getafe CF,54.0,43.0,37.0,26.63,181.67,74.93,74.5,7636833.0,18600.0,10.9,131,7,45.8,61.9,25.0,Spain,19.35,
388,9,2019,Valencia CF,53.0,46.0,53.0,24.97,181.64,74.58,75.39,12313787.0,29364.0,8.9,75,8,49.4,81.7,15.0,Spain,67.49999999999999,77.76
389,10,2019,CA Osasuna,52.0,46.0,54.0,26.07,180.13,73.93,69.87,3001000.0,16167.0,12.2,104,6,47.8,70.5,23.7,Spain,12.785,
390,11,2019,Athletic Club Bilbao,51.0,41.0,38.0,25.39,182.45,77.91,73.73,7924242.0,17848.0,10.8,90,2,49.0,76.4,24.9,Spain,0.0,19.47
391,12,2019,Levante UD,49.0,47.0,53.0,26.09,180.47,74.31,72.88,6258593.0,17531.0,11.2,71,5,48.8,77.9,14.1,Spain,11.34,
392,13,2019,SD Eibar,42.0,39.0,56.0,27.75,181.0,75.0,73.89,6158928.0,18643.0,9.9,84,0,46.0,74.4,17.1,Spain,15.39,9.76
393,14,2019,Real Valladolid CF,42.0,32.0,43.0,24.27,181.12,74.0,71.94,5103030.0,12152.0,11.3,88,3,46.7,69.2,26.4,Spain,1.26,
394,15,2019,Real Betis,41.0,48.0,60.0,24.94,180.61,74.87,73.42,10131612.0,18774.0,12.6,105,9,55.7,83.4,15.8,Spain,90.23,
395,16,2019,Deportivo Alavés,39.0,34.0,59.0,25.09,181.39,75.15,72.03,5214393.0,15424.0,8.2,105,7,43.2,70.2,24.5,Spain,9.7,9.94
396,17,2019,RC Celta Vigo,37.0,37.0,49.0,23.61,178.79,71.3,71.7,6671969.0,14576.0,9.7,100,6,51.3,80.5,17.7,Spain,22.14,24.18
397,18,2019,CD Leganés,36.0,30.0,51.0,24.52,181.27,74.21,70.73,4199848.0,16152.0,11.4,125,4,45.0,72.2,21.3,Spain,14.76,12.36
398,19,2019,RCD Mallorca,33.0,40.0,65.0,26.33,181.07,75.41,69.0,2248148.0,12185.0,11.1,85,5,46.3,77.6,17.5,Spain,6.750000000000001,
399,20,2019,RCD Espanyol,25.0,27.0,59.0,25.03,179.27,73.23,72.53,6696666.0,18400.0,10.8,95,9,47.5,74.6,21.0,Spain,55.35,30.34
400,1,2020,Atletico Madrid,26.0,21.0,4.0,,,,,,,12.5,29,0,53.4,84.5,14.2,Spain,,
401,2,2020,Real Sociedad,26.0,24.0,8.0,,,,,,,12.1,31,1,54.2,80.0,18.8,Spain,,
402,3,2020,Real Madrid,26.0,22.0,13.0,,,,,,,13.7,22,0,57.2,87.9,10.5,Spain,,
403,4,2020,Villarreal,22.0,16.0,12.0,,,,,,,10.4,24,1,54.7,84.3,13.6,Spain,,
404,5,2020,Barcelona,20.0,23.0,12.0,,,,,,,15.7,23,1,60.0,88.5,10.5,Spain,,
405,6,2020,Sevilla,19.0,13.0,9.0,,,,,,,12.6,27,1,59.8,86.6,17.3,Spain,,
406,7,2020,Granada,18.0,15.0,20.0,,,,,,,9.7,27,1,45.1,72.0,19.9,Spain,,
407,8,2020,Cadiz,18.0,11.0,17.0,,,,,,,8.4,21,2,37.2,67.8,17.0,Spain,,
408,9,2020,Celta Vigo,16.0,17.0,20.0,,,,,,,10.9,39,2,50.4,78.1,16.0,Spain,,
409,10,2020,Real Betis,16.0,15.0,24.0,,,,,,,11.8,27,4,53.8,82.0,17.2,Spain,,
410,11,2020,Eibar,15.0,9.0,10.0,,,,,,,10.8,23,3,49.7,69.6,26.3,Spain,,
411,12,2020,Valencia,14.0,19.0,19.0,,,,,,,9.1,28,1,45.2,76.8,16.8,Spain,,
412,13,2020,Athletic Bilbao,14.0,15.0,17.0,,,,,,,11.6,36,1,52.3,76.4,22.9,Spain,,
413,14,2020,Elche,14.0,9.0,11.0,,,,,,,5.5,31,1,49.4,81.9,13.2,Spain,,
414,15,2020,Deportivo Alaves,14.0,11.0,14.0,,,,,,,8.2,27,4,41.4,71.0,21.1,Spain,,
415,16,2020,Getafe,13.0,9.0,14.0,,,,,,,9.5,40,3,45.8,65.6,21.8,Spain,,
416,17,2020,Real Valladolid,13.0,14.0,20.0,,,,,,,9.1,29,1,43.9,72.1,15.7,Spain,,
417,18,2020,Levante,11.0,13.0,16.0,,,,,,,11.4,22,0,52.9,80.9,12.1,Spain,,
418,19,2020,SD Huesca,11.0,12.0,20.0,,,,,,,10.7,22,0,50.3,80.5,17.2,Spain,,
419,20,2020,Osasuna,11.0,10.0,18.0,,,,,,,10.1,27,1,44.6,68.5,30.3,Spain,,
